LAT,LON,YEAR,MO,DY,RH2M,T2M
6.79601,79.90121,1997,12,5,89.63,26.63
6.79601,79.90121,1997,12,6,84.94,27.01
6.79601,79.90121,1997,12,7,85.44,26.7
6.79601,79.90121,1997,12,8,87.67,26.42
6.79601,79.90121,1997,12,9,84.19,26.87
6.79601,79.90121,1997,12,10,83.1,27.26
6.79601,79.90121,1997,12,11,82.59,27.58
6.79601,79.90121,1997,12,12,81.1,27.83
6.79601,79.90121,1997,12,13,83.19,27.68
6.79601,79.90121,1997,12,14,80.84,27.81
6.79601,79.90121,1997,12,15,83.18,27.58
6.79601,79.90121,1997,12,16,86.33,27.15
6.79601,79.90121,1997,12,17,89,27.04
6.79601,79.90121,1997,12,18,85.23,27.02
6.79601,79.90121,1997,12,19,81.93,27.1
6.79601,79.90121,1997,12,20,79.71,27.26
6.79601,79.90121,1997,12,21,81.67,27.05
6.79601,79.90121,1997,12,22,82.61,26.92
6.79601,79.90121,1997,12,23,77.67,26.96
6.79601,79.90121,1997,12,24,75.67,26.81
6.79601,79.90121,1997,12,25,79.04,27.15
6.79601,79.90121,1997,12,26,75.87,27.17
6.79601,79.90121,1997,12,27,75.99,26.86
6.79601,79.90121,1997,12,28,75.66,26.99
6.79601,79.90121,1997,12,29,84.06,26.76
6.79601,79.90121,1997,12,30,79.7,26.75
6.79601,79.90121,1997,12,31,82.63,26.41
6.79601,79.90121,1998,1,1,83.88,26.65
6.79601,79.90121,1998,1,2,83.67,26.84
6.79601,79.90121,1998,1,3,86.74,26.41
6.79601,79.90121,1998,1,4,83.36,26.51
6.79601,79.90121,1998,1,5,78.77,26.69
6.79601,79.90121,1998,1,6,77.99,26.6
6.79601,79.90121,1998,1,7,78.9,26.42
6.79601,79.90121,1998,1,8,83.52,26.79
6.79601,79.90121,1998,1,9,84.68,26.83
6.79601,79.90121,1998,1,10,82.89,26.69
6.79601,79.90121,1998,1,11,80.61,26.55
6.79601,79.90121,1998,1,12,81.57,26.53
6.79601,79.90121,1998,1,13,79.99,26.5
6.79601,79.90121,1998,1,14,76.88,26.49
6.79601,79.90121,1998,1,15,78.62,25.98
6.79601,79.90121,1998,1,16,75.46,25.83
6.79601,79.90121,1998,1,17,77.94,26.36
6.79601,79.90121,1998,1,18,79.63,26.71
6.79601,79.90121,1998,1,19,77.4,27.01
6.79601,79.90121,1998,1,20,78.45,27.14
6.79601,79.90121,1998,1,21,76.63,27.48
6.79601,79.90121,1998,1,22,77.52,27.59
6.79601,79.90121,1998,1,23,76.22,27.71
6.79601,79.90121,1998,1,24,72.15,27.29
6.79601,79.90121,1998,1,25,76.97,27.01
6.79601,79.90121,1998,1,26,80.54,27.14
6.79601,79.90121,1998,1,27,78.3,27.11
6.79601,79.90121,1998,1,28,76.93,26.92
6.79601,79.90121,1998,1,29,78.44,27.15
6.79601,79.90121,1998,1,30,79.25,27.54
6.79601,79.90121,1998,1,31,78.95,27.46
6.79601,79.90121,1998,2,1,77.87,27.16
6.79601,79.90121,1998,2,2,76.44,26.96
6.79601,79.90121,1998,2,3,75.01,27
6.79601,79.90121,1998,2,4,75.14,26.71
6.79601,79.90121,1998,2,5,76.36,26.87
6.79601,79.90121,1998,2,6,73.59,27.21
6.79601,79.90121,1998,2,7,73.89,27.42
6.79601,79.90121,1998,2,8,74.6,27.84
6.79601,79.90121,1998,2,9,74.76,28.07
6.79601,79.90121,1998,2,10,75.4,27.6
6.79601,79.90121,1998,2,11,75.22,27.43
6.79601,79.90121,1998,2,12,76.41,27.28
6.79601,79.90121,1998,2,13,75.56,27.15
6.79601,79.90121,1998,2,14,75.13,27.43
6.79601,79.90121,1998,2,15,75.83,27.13
6.79601,79.90121,1998,2,16,76.98,27.15
6.79601,79.90121,1998,2,17,76.68,27.24
6.79601,79.90121,1998,2,18,79.43,26.9
6.79601,79.90121,1998,2,19,76.39,27.36
6.79601,79.90121,1998,2,20,73.62,27.54
6.79601,79.90121,1998,2,21,73.57,27.28
6.79601,79.90121,1998,2,22,74.37,27.25
6.79601,79.90121,1998,2,23,75.58,27.53
6.79601,79.90121,1998,2,24,73.24,27.48
6.79601,79.90121,1998,2,25,73.19,27.78
6.79601,79.90121,1998,2,26,72.75,28.23
6.79601,79.90121,1998,2,27,73.85,28.14
6.79601,79.90121,1998,2,28,68.36,28.19
6.79601,79.90121,1998,3,1,64.52,28.15
6.79601,79.90121,1998,3,2,69.73,27.58
6.79601,79.90121,1998,3,3,64.47,27.94
6.79601,79.90121,1998,3,4,66.46,28.17
6.79601,79.90121,1998,3,5,67.4,28.21
6.79601,79.90121,1998,3,6,67.08,28.18
6.79601,79.90121,1998,3,7,69.41,27.95
6.79601,79.90121,1998,3,8,74.94,28
6.79601,79.90121,1998,3,9,70.56,28.8
6.79601,79.90121,1998,3,10,69.4,29.13
6.79601,79.90121,1998,3,11,74.93,28.39
6.79601,79.90121,1998,3,12,78.74,27.65
6.79601,79.90121,1998,3,13,77.94,27.81
6.79601,79.90121,1998,3,14,76.81,28.31
6.79601,79.90121,1998,3,15,75.34,28.28
6.79601,79.90121,1998,3,16,65.7,29.02
6.79601,79.90121,1998,3,17,63.8,29.07
6.79601,79.90121,1998,3,18,67.43,29.34
6.79601,79.90121,1998,3,19,69.52,29.53
6.79601,79.90121,1998,3,20,69.66,29.04
6.79601,79.90121,1998,3,21,70.4,28.93
6.79601,79.90121,1998,3,22,70.59,28.74
6.79601,79.90121,1998,3,23,71.91,28.57
6.79601,79.90121,1998,3,24,71.15,28.63
6.79601,79.90121,1998,3,25,69.86,28.93
6.79601,79.90121,1998,3,26,68.77,29.61
6.79601,79.90121,1998,3,27,66.46,30.04
6.79601,79.90121,1998,3,28,62.27,30.06
6.79601,79.90121,1998,3,29,65.48,29.75
6.79601,79.90121,1998,3,30,69.81,29.61
6.79601,79.90121,1998,3,31,75.35,29.03
6.79601,79.90121,1998,4,1,73.27,29.39
6.79601,79.90121,1998,4,2,72.99,29.06
6.79601,79.90121,1998,4,3,73.58,29.1
6.79601,79.90121,1998,4,4,74.27,29.32
6.79601,79.90121,1998,4,5,70.46,29.95
6.79601,79.90121,1998,4,6,75.91,29.53
6.79601,79.90121,1998,4,7,73.27,29.39
6.79601,79.90121,1998,4,8,77.31,28.57
6.79601,79.90121,1998,4,9,72.16,29.21
6.79601,79.90121,1998,4,10,73.47,29.14
6.79601,79.90121,1998,4,11,76.4,29.06
6.79601,79.90121,1998,4,12,76.99,28.97
6.79601,79.90121,1998,4,13,79.8,28.89
6.79601,79.90121,1998,4,14,75.78,29.34
6.79601,79.90121,1998,4,15,73.37,29.41
6.79601,79.90121,1998,4,16,75.69,29.07
6.79601,79.90121,1998,4,17,75.12,29.14
6.79601,79.90121,1998,4,18,75.69,29.21
6.79601,79.90121,1998,4,19,78.11,29.16
6.79601,79.90121,1998,4,20,73.21,30
6.79601,79.90121,1998,4,21,72.6,29.9
6.79601,79.90121,1998,4,22,72.63,29.56
6.79601,79.90121,1998,4,23,73.9,29.27
6.79601,79.90121,1998,4,24,72.48,29.65
6.79601,79.90121,1998,4,25,73.74,29.71
6.79601,79.90121,1998,4,26,73.8,29.66
6.79601,79.90121,1998,4,27,76.49,29.16
6.79601,79.90121,1998,4,28,78.27,29.09
6.79601,79.90121,1998,4,29,78.4,29.27
6.79601,79.90121,1998,4,30,79.79,29.2
6.79601,79.90121,1998,5,1,76.15,29.76
6.79601,79.90121,1998,5,2,77.01,29.45
6.79601,79.90121,1998,5,3,77.93,28.83
6.79601,79.90121,1998,5,4,83.6,27.82
6.79601,79.90121,1998,5,5,76.59,28.93
6.79601,79.90121,1998,5,6,73.56,29.6
6.79601,79.90121,1998,5,7,71.31,29.84
6.79601,79.90121,1998,5,8,77.45,29.27
6.79601,79.90121,1998,5,9,85.16,27.93
6.79601,79.90121,1998,5,10,85.19,28.04
6.79601,79.90121,1998,5,11,88.8,27.86
6.79601,79.90121,1998,5,12,83.07,27.8
6.79601,79.90121,1998,5,13,84.24,27.66
6.79601,79.90121,1998,5,14,86.51,28.21
6.79601,79.90121,1998,5,15,88.81,27.89
6.79601,79.90121,1998,5,16,83.32,28.63
6.79601,79.90121,1998,5,17,83.41,28.69
6.79601,79.90121,1998,5,18,84.52,29.03
6.79601,79.90121,1998,5,19,84.67,29.13
6.79601,79.90121,1998,5,20,82.46,28.99
6.79601,79.90121,1998,5,21,80.97,29.57
6.79601,79.90121,1998,5,22,80.18,29.42
6.79601,79.90121,1998,5,23,77.45,29.64
6.79601,79.90121,1998,5,24,79.16,29.44
6.79601,79.90121,1998,5,25,78.72,29.26
6.79601,79.90121,1998,5,26,79.78,29.43
6.79601,79.90121,1998,5,27,81.5,29.06
6.79601,79.90121,1998,5,28,82.45,28.91
6.79601,79.90121,1998,5,29,83.18,28.77
6.79601,79.90121,1998,5,30,84.06,28.45
6.79601,79.90121,1998,5,31,83.27,28.4
6.79601,79.90121,1998,6,1,86.37,28.04
6.79601,79.90121,1998,6,2,86.27,28.13
6.79601,79.90121,1998,6,3,85.4,27.69
6.79601,79.90121,1998,6,4,85.02,28.03
6.79601,79.90121,1998,6,5,81.97,28.24
6.79601,79.90121,1998,6,6,76.16,29.19
6.79601,79.90121,1998,6,7,82.2,28.79
6.79601,79.90121,1998,6,8,83.99,28.66
6.79601,79.90121,1998,6,9,84.98,28.46
6.79601,79.90121,1998,6,10,81.96,28.11
6.79601,79.90121,1998,6,11,82.22,27.54
6.79601,79.90121,1998,6,12,83.25,27.92
6.79601,79.90121,1998,6,13,83.47,28.05
6.79601,79.90121,1998,6,14,86.46,27.68
6.79601,79.90121,1998,6,15,83.4,27.62
6.79601,79.90121,1998,6,16,83.19,27.54
6.79601,79.90121,1998,6,17,82.59,27.52
6.79601,79.90121,1998,6,18,84.28,27.79
6.79601,79.90121,1998,6,19,84.93,27.63
6.79601,79.90121,1998,6,20,84.47,27.66
6.79601,79.90121,1998,6,21,84.68,27.21
6.79601,79.90121,1998,6,22,84.82,27.11
6.79601,79.90121,1998,6,23,84.78,26.91
6.79601,79.90121,1998,6,24,81.05,27.66
6.79601,79.90121,1998,6,25,82.74,27.91
6.79601,79.90121,1998,6,26,85.97,27.32
6.79601,79.90121,1998,6,27,86.23,27.11
6.79601,79.90121,1998,6,28,84.52,27.16
6.79601,79.90121,1998,6,29,86.83,27.09
6.79601,79.90121,1998,6,30,85.31,27.43
6.79601,79.90121,1998,7,1,84.87,26.96
6.79601,79.90121,1998,7,2,81.01,27.33
6.79601,79.90121,1998,7,3,86.02,27.08
6.79601,79.90121,1998,7,4,83.52,27.01
6.79601,79.90121,1998,7,5,83.63,27.33
6.79601,79.90121,1998,7,6,82.83,27.57
6.79601,79.90121,1998,7,7,83.88,27.37
6.79601,79.90121,1998,7,8,84.48,27.26
6.79601,79.90121,1998,7,9,83.15,27.2
6.79601,79.90121,1998,7,10,82.35,27.36
6.79601,79.90121,1998,7,11,81.57,27.16
